correct,incorrect,total_edits
"All the amenities that are necessary for your daily life , such as a fantastic school with perfect teachers and a modern building can be found here .",All amenities that is necessary for your daily life such as fantastic school with perfect teachers and modern building is found .,7
"Finally , I also talked about the clothes they usually wear .","Finally , I also talked about the clothes they usually wear .",0
"And for this reason , I honestly think it will be the only means of transport in the future .",And for this reason I honestly think it will be the only means of transport in the future .,1
I hope you enjoy your trip to Seoul till you left our country .,I hope to enjoy your trip in Seoul till you left our contury .,3
Every person will have a plane .,Every person will have a plane .,0
"If you decide to visit the north part , I think it would be good if you started from Trento and its new museum of nature called Muse .",If you decide to visit the North part I think is good if you start from Trento and his new museum about nature called Muse .,7
I think we should learn to buy only things we really need and we can afford .,I think we should learn to buy only things we really need and we can afford .,0
"Best regards ,","Best regards ,",0
My name is Michael Freeman and I 'm twenty - nine years old .,My name is Michael Freeman and I 'm twenty - nine years old .,0
"It would be a good idea to recycle paper , glass , metal and plastic .","It would be a good idea to recycle paper , glass , metal and plastic .",0
"I can go to Paris for a long weekend , for example .","I can go to Paris for a long weekend , for example .",0
"Hello , Alison !","Hello , Alison !",0
"Sophie accepted and they started a strong friendship that , with time , became more than just a friendship ; they fell in love with each other .","Sophie accepted and they started a strong friendship that through the time became in more than just a friendship , they fall in love for each other .",8
We are glad that our work has started to bear fruits in recent years .,We are glad that our work has started to bear fruits in recent years .,0
"When a very skilled player finds himself in a hostile work environment ( with talented but selfish players who are n't committed to their "" team play "" ) he tends to lose performance and lack good results in matches .","When a very skilled player finds himself in a hostile work environment ( with talented but selfish players who are n't committed to their "" team play "" ) he tends to lose performance and lack good results in matches .",0
"On the other hand , young people in Bosnia do n't really have the opportunity to choose whether they want to go or not .","On the the other hand , young people in Bosnia do n't really have the opportunity to choose , if they want to go or not .",3
"Moreover , we developed projects with multidisciplinary teams for the following institutions : the Colombian Ministry of Health , and the World Bank , with excellent results .","Moreover , we developed projects with multidisciplinary teams for the following institutions : the Colombian Ministry of Health , and the World Bank with excellent results .",1
He was scared .,He was scared .,0
My name is Agustina López . I was born in 1999 on 12th April .,My name is Agustina López I was born in 1999 on 12th April .,1
"He is the only one who can produce poetry in a simple language , thanks to imagination and memory .","He is the only one who can produce poetry in a simple language , thanks to imagination and memory .",0
"Using the changing method would improve the education system in many ways , especially for people with obstruction .",Using the changing method would improve the education system in many aspects especially for people with obstruction .,1
What about you ?,What 's about you ?,1
"The only thing that definitely should be changed in the future , is the approach to the usage of cars powered by gasoline .","The only thing , that definitely should be changed in the future , is an approach to usage of cars powered by gasoline .",3
"We still use plastic bags and bottles , phosphate detergents , throw batteries away .","Still we use plastic bags and bottles , phosphate detergents , throw batteries away .",1
One of the biggest disadvantages of being popular is that they are on everybody 's lips .,One of the biggest disadvantages of being popular is that they are on everybody 's lips .,0
"There 's no question which is my favourite restaurant in town : The Seaside . I will tell you why and also why it 's so appropriate for us , as a class , to have our last farewell dinner there .","There 's no discussion which is my favourite restaurant in town , The Seaside . I will tell you why and also why it 's so appropriate for us , as a class to take our last farewell there .",5
It makes my every journey unpleasant and I feel uneasy all the week before the flight .,It makes my every journey unpleasnt and I feel uneasy all the week before the flight .,1
"In conclusion , public transport is needed by everybody in a necessary time .","In conclusion , public transport is needed for everybody in a necessary time .",1
"This was different to the original test mentioned in the text , where all the participants were American and native speakers of that language . It was really easy to understand what was on the computer screen .","Different from the original test mention on the text , that all the participants were american and native speakers from that language , it was really easy to understand what was in the computer screen .",9
"But if you eat at home with your family , you can have a joke while preparing dishes or talk about your own private things .",But if you eat at home with your family you can have a joke while preparing dishes or talk about their own private life things .,3
One of these it 's surely my sport .,one of these it 's surely my sport .,1
"In my opinion , being alone means that you have something to think about , for example , to think about our deeds .","In my opinion , staying alone means that you have something to think about , for example to think about our deeds .",2
"I 'm a cheerful person , so I would attempt to give my best to keep the attention of the children .",I 'm a cheerful person so I would attempt to give my best for receiving the attention of the children .,3
The swimming pool is big enough and the temperature of the water is fine .,The swimming pool is big enough and the temperature of the water is fine .,0
Every single detail should be perfect to make the best first impression .,Every single detail should be perfect to get the best first impression .,1
"When I was fourteen years old , I won a championship because , in that period , I swam as a competitive athlete .","When I was fourteen years old , I win the championchip because in that period I swam as agonistic atlet .",8
"A lot companies advertise their goods on the Internet , so millions of people know computers enable us to automate various tasks that we can not do manually and that is really helpful .",A lot computers advertise their goods on the Internet so millions of people would know it - computers enable us to automate various tasks that we can not do manually and that is really helpful .,4
The garbage cans are around each home .,The garbage cans are about each home .,1
Jack fainted while their friends were rescuing him .,Jack fainted while their friends were rescuing him .,0
"If something changes in your life it will be a news item on television , and people will invent rumours about you .","If something changes in your life will be a notice in television , and people will invent rumours about you .",3
The diagram gives information about various stages in the process of making bank notes .,The diagram gives information about various stages in the process of making bank notes .,0
Well … .,Well … .,0
"Also , they have so many close relationships with their children , which makes them trustworthy characters as teachers .","Also they have so many close relationships with their children , which makes them a trustworthy characters as teachers .",2
"On the other hand , using public transportation is good for the environment because the amount of gas , electricity and other materials used is a lot lower per head .","On the other hand , using public transportation is good for the environment because the amount of gas , electricity and other materials is a lot lower per head .",1
"You can improve it by running with the ball and , gradually , you will improve your ball control .",you can improve it running with the ball and gradually you will improve your ball control .,4
"It also had some warm scenes , showing hope , courage and sacrifice .","It also had some warm scenes , showing hope , courage and sacrifice .",0
"Given the learning experiences in the past two year s ' school - based support , some sound teaching strategies have been developed and these include the provision of adequate language inputs , ELPS and Thinking Tools .","Given the learning experiences in the past two year 's school - based support , some sound teaching strategies have been developed and these include the provision of adequate language inputs , ELPS and Thinking Tools .",1
She is called Canelle . She 's a Jack Russell Terrier .,"It is called Canelle , it 's a Jack Russell Terrier .",3
"So , next time you try to avoid a book , think first whether you need your brain to work faster or be more creative , because it could be a good idea to exercise your brain a little bit by reading .","So , next time when you try to avoid a book , think first whether you need that your brain works faster or be more creative , because could be a good idea to exercise a little bit your brain with reading .",7
"All the participants , which were ten in total , were given a personal computer for the duration of the entire course , in order to put into practice what was taught .","All the participants , which were ten in total , were given a personal computer for the duration of the entire course in order to put into practice what was taught .",1
"In addition , I can be confident because teachers require everybody in class to stand in front of the class and speak English .","In addition , I can be confident because teachers require everybody in class have to stand in front of class and speak English .",2
"I love you so much , my dear friend .","I love so much , my dear friend .",1
He just kept quiet and begged me to stop .,He just kept quiet and begged me to stop .,0
The perfect one !,The perfect one !,0
"- There are separate rubbish bins for plastics , metal and glass in the whole area .","- There are separate rubbish bins for plastics , metal and glass in the whole area .",0
"As the picture shows , there are six steps to producing bank notes .","Vividly as the picture depicts , there are six steps to produce bank notes .",3
Last week was a hard week for my wife .,Last week was a hard week for my wife .,0
"Yours faithfully ,","Yours faithfully ,",0
"Also , taking some pictures will be a great idea .",Also having some pictures will be a great idea .,2
Not a good experience for ill - hearted !,Not a good experience for ill - hearted !,0
,,0
